# ===================================================================
# MATRIZ DE RLS — O QUE CADA PAPEL PODE FAZER EM CADA TABELA
# ===================================================================
#
# Este arquivo é a parte que se REVISA. O resto da pasta é encanamento.
#
# Cada número é "quantas linhas este papel consegue ler / inserir / alterar /
# apagar" no cenário fixo de cenario.sql: duas lojas da mesma empresa, duas
# linhas por tabela compartilhada, uma linha por loja nas tabelas de loja.
#
# Os cinco papéis, nesta ordem:
#   admin_ab   admin das DUAS lojas (o dono)
#   admin_a    admin só da loja A
#   caixa_a    balconista da loja A, permissão só de Caixa
#   orfao      operador logado e SEM loja nenhuma (§6 item 23)
#   sem_login  ninguém logado (papel `anon`)
#
# Como ler os padrões que se repetem:
#   2,1,1,0,0  tabela DA LOJA: o dono vê as duas, quem é da loja A vê a dele,
#              órfão e deslogado não veem nada. É o isolamento entre lojas.
#   2,2,2,2,0  tabela COMPARTILHADA: qualquer um logado mexe em tudo. É uma
#              decisão de produto (catálogo único da empresa), não um furo —
#              mas é também o alcance real do §6 item 1, à vista.
#   1,1,0,0,0  só admin.
#   0,0,0,0,0  ninguém, nem o dono: só o banco escreve ali.
#
# ⚠️  Mudou um número aqui? Então mudou o que alguém pode fazer com o dado de
#     uma loja. Esse é o ponto do arquivo: a mudança de segurança aparece no
#     diff do PR, em vez de sumir dentro de uma migration.
#
# Linha começada por # é comentário; linha em branco é ignorada.
#
tabela,comando,admin_ab,admin_a,caixa_a,orfao,sem_login,nota

# ---------------------------------------------------------------------------
# CATÁLOGO COMPARTILHADO — sem dono, aberto a qualquer um logado
# ---------------------------------------------------------------------------
categorias,select,2,2,2,2,0,
categorias,insert,1,1,1,1,0,
categorias,update,2,2,2,2,0,
categorias,delete,2,2,2,2,0,
categorias_servicos,select,2,2,2,2,0,
categorias_servicos,insert,1,1,1,1,0,
categorias_servicos,update,2,2,2,2,0,
categorias_servicos,delete,2,2,2,2,0,
categorias_caixa,select,2,2,2,2,0,
categorias_caixa,insert,1,1,1,1,0,
categorias_caixa,update,2,2,2,2,0,
categorias_caixa,delete,2,2,2,2,0,
clientes,select,2,2,2,2,0,o cadastro de cliente é da empresa inteira — inclusive pro órfão
clientes,insert,1,1,1,1,0,
clientes,update,2,2,2,2,0,
clientes,delete,2,2,2,2,0,
veiculos,select,2,2,2,2,0,
veiculos,insert,1,1,1,1,0,
veiculos,update,2,2,2,2,0,
veiculos,delete,2,2,2,2,0,
pecas,select,2,2,2,2,0,
pecas,insert,1,1,1,1,0,
pecas,update,2,2,2,2,0,
pecas,delete,2,2,2,2,0,
servicos,select,2,2,2,2,0,
servicos,insert,1,1,1,1,0,
servicos,update,2,2,2,2,0,
servicos,delete,2,2,2,2,0,
fornecedores,select,2,2,2,2,0,
fornecedores,insert,1,1,1,1,0,
fornecedores,update,2,2,2,2,0,
fornecedores,delete,2,2,2,2,0,
cotacoes_pecas,select,2,2,2,2,0,
cotacoes_pecas,insert,1,1,1,1,0,
cotacoes_pecas,update,2,2,2,2,0,
cotacoes_pecas,delete,2,2,2,2,0,

# ---------------------------------------------------------------------------
# DADO DE NEGÓCIO DA LOJA — o isolamento que sustenta a multi-loja
# ---------------------------------------------------------------------------
