# Tabelas com RLS ligada que NÃO têm policy para algum dos quatro comandos.
#
# Comando sem policy nenhuma não dá erro nem aviso: o Postgres simplesmente
# filtra a zero linhas (ou recusa a inserção), e do lado do app isso é
# indistinguível de "deu certo" — foi assim que o botão "excluir loja" passou
# meses sem fazer nada (§6 item 15).
#
# Por isso o runner reprova qualquer lacuna que não esteja declarada aqui.
# Entrar nesta lista é dizer, por escrito, "é assim de propósito".
#
tabela,comando,motivo
auditoria,INSERT,só a função de gatilho (security definer) escreve na trilha
auditoria,UPDATE,trilha é append-only: registro histórico não se reescreve
auditoria,DELETE,apagar é só pelo SQL Editor via expurgar_auditoria()
schema_versao,INSERT,só a migration rodando no SQL Editor registra versão
schema_versao,UPDATE,versão aplicada é fato passado: não se reescreve
schema_versao,DELETE,idem — apagar daqui faria o app mentir sobre o banco
segredos_fiscais_loja,SELECT,o cofre do token da Focus NFe — só a service role do porteiro lê (TR-04.2)
segredos_fiscais_loja,INSERT,gravar é só pela função definir_token_focus_nfe()
segredos_fiscais_loja,UPDATE,idem — trocar o token é pela função
segredos_fiscais_loja,DELETE,o segredo sai junto com a loja (on delete cascade)
fechamentos_caixa,UPDATE,um fechamento de caixa não se altera — desfaz (só admin) e fecha de novo (TR-06.4)
comissoes_fechamentos,UPDATE,um pagamento de comissão registrado não se altera — admin desfaz e registra de novo (TL-46.1)
computadores,INSERT,gravar é só pela função registrar_computador() — o balconista registra o computador dele sem poder ler a lista (0063)
computadores,UPDATE,trocar o apelido é só pela função definir_apelido_computador(); o resto muda a cada login pela registrar_computador()
